timestamp_ms,emg_quad,ecg_isquio,angulo_relativo
239,0,2006,14.54
239,0,1195,14.54
239,0,1946,14.54
241,0,2096,14.55
241,0,1282,14.56
241,0,1915,14.56
242,0,2153,14.56
242,0,1317,14.56
242,0,1968,14.56
242,0,2290,14.55
243,0,1424,14.55
243,0,1931,14.54
243,0,2323,14.54
244,0,1459,14.54
244,0,1900,14.54
244,0,2419,14.54
245,0,1578,14.54
245,0,1902,14.54
245,0,2489,14.55
245,0,1635,14.55
246,0,1837,14.55
246,0,2426,14.55
457,0,1600,14.55
457,0,1747,14.55
458,0,2450,14.55
458,0,1692,14.54
458,0,1737,14.54
458,0,2498,14.55
459,0,1775,14.55
459,0,1753,14.55
459,0,2539,14.55
459,0,1759,14.56
460,0,1610,14.55
460,0,2443,14.55
460,0,1777,14.55
460,0,1475,14.54
461,0,2324,14.54
461,0,1684,14.54
461,0,1392,14.54
461,0,2269,14.54
462,0,1815,14.54
479,0,1438,14.54
480,0,2251,14.55
683,0,1734,14.55
683,0,1162,14.55
683,0,1935,14.55
684,0,1689,14.54
684,0,1152,14.54
684,0,2030,14.55
684,0,1809,14.55
685,0,1198,14.55
685,0,2038,14.55
685,0,1933,14.55
686,0,1233,14.55
686,0,2042,14.55
686,0,2037,14.55
686,0,1321,14.55
688,0,2103,14.55
688,0,2149,14.55
689,0,1317,14.55
689,0,1970,14.55
690,0,2096,14.56
866,0,1241,14.56
866,0,1883,14.56
866,0,2101,14.55
867,0,1264,14.55
867,0,1840,14.55
867,0,2175,14.55
867,0,1345,14.55
867,0,1811,14.55
868,0,2224,14.55
868,0,1350,14.56
869,0,1722,14.56
869,0,2221,14.55
870,0,1409,14.55
870,0,1724,14.55
870,0,2306,14.54
870,0,1472,14.54
895,0,1637,14.55
895,0,2274,14.55
924,0,1474,14.56
924,0,1587,14.56
926,0,2288,14.56
956,0,1477,14.56
956,0,1578,14.55
987,0,2266,14.55
988,0,1599,14.55
988,0,1581,14.55
1020,0,2279,14.55
1020,0,1631,14.55
1021,0,1510,14.55
1050,0,2261,14.55
1050,0,1677,14.55
1050,0,1435,14.55
1082,0,2227,14.55
1082,0,1722,14.56
1083,0,1371,14.56
1113,0,2141,14.56
1113,0,1742,14.56
1144,0,1251,14.55
1144,0,2143,14.55
1144,0,1693,14.55
1174,0,1296,14.55
1174,0,2142,14.56
1174,0,1883,14.57
1206,0,1291,14.57
1206,0,2187,14.57
1206,0,1946,14.57
1237,0,1282,14.56
1237,0,2159,14.56
1268,0,1946,14.55
1269,0,1237,14.55
1271,0,2078,14.55
1300,0,1941,14.55
1300,0,1225,14.55
1301,0,1958,14.55
1330,0,1989,14.55
1331,0,1204,14.55
1331,0,1936,14.55
1361,0,2121,14.54
1361,0,1340,14.54
1363,0,2021,14.55
1392,0,2224,14.55
1392,0,1486,14.55
1424,0,1962,14.55
1424,0,2266,14.56
1425,0,1483,14.55
1455,0,1861,14.55
1455,0,2342,14.55
1455,0,1600,14.55
1486,0,1904,14.55
1487,0,2416,14.54
1487,0,1535,14.54
1515,0,1760,14.54
1517,0,2400,14.54
1547,0,1535,14.54
1547,0,1713,14.54
1548,0,2416,14.55
1579,0,1600,14.55
1579,0,1766,14.55
1579,0,2559,14.55
1610,0,1808,14.56
1610,0,1814,14.56
1611,0,2590,14.56
1641,0,1754,14.55
1641,0,1693,14.56
